Episode #,Episode Title,Original Airdate,Joe's Cheese,Sam's Cheese,Notes and Notable Quotes
306,,,Not being able to find BD5YRC at Harris Teeter,Parmesan finds in bolognese (Parmiggiano),"Joe's first visit in a long time to Harris Teeter; ""I felt okay [going to HT]; we're still probably gonna mostly do our shopping in the smaller grocery store that stays relatively empty. It's got windows and doors open and such, but I'll probably...stop in Harris Teeter for a few things but it's not a place I felt like I wanted to linger in, not that I'm lingering anywhere, except this mortal plane."""
307,,,Parmigiano reggiano,Sam's robot vacuum cleaner / Kraft single / haunted,"Joe: ""Or just suck on 'em. Just chew on it. Sit on the couch, have yourself an evening. Just make out with it. Really give it to that Parmesan rind."" Joe, when Sam says he doesn't have a cheese: ""Just look at your floor."" Joe: ""This cheese? Fucked by ghosts. This cheese? Absolutely banged by ghosts."" (Lots of ghost cheese banter.)"
308,,,Cabot seriously sharp cheddar,Saltines vs Ritz (crackers),
309,,,Tillamouk,,
310,,,Wall Street Journal cheese article / legalized magic mushrooms in DC,Flavicol for popcorn,"Joe doesn't have subscription to WSJ, so he was unable to read the article."
311,,,"Three cheese grilled cheese (Kraft single, Cabot cheddar, mozzarella)",Panera Bread in Missoula / broccoli cheddar soup (not vegetarian),"Joe: ""I don't even have a cheese this week, I'm trying to think of one. Cheddar?"" Sam: ""I didn't ask."" Joe: ""You're absolutely right. Let's move on."""
312,,,,,There was a story but it went nowhere...
313,,,Cheese danish coffee cake (HT),Parmesan again,"Joe: ""It's good and it has the name cheese in it so that's my cheese of the week."""
314,,,Safeway cheese dip / thanksgiving Mac and cheese with mascarpone,Crab cakes with hollandaise sauce,"Joe: ""It's not very good but we've gotten it three times."""
315,,,"More coffee cake, this time from Safeway",,"Joe: ""Harris Teeter wins again. What can I say?"""
316,,,"More Mac and cheese, served with salmon (FISH AND MILK WARNING)",Costco quiche,"Joe: ""I said it and I won't take it back."" (After saying that quiche is just an omelette in a pie crust.)"
317,,,Mediocre local grocery store cheese,,Cheese of the year is the cheese truck for Joe and Gruyere for Sam.
318,,,Mortar and pestle / pesto Parmesan pork chops,Paneer,"Joe: ""I hear [the mortar and pestle] arrive, I hear [Justin] unpacking it in the kitchen, and he goes, 'Okay, so it's a little bigger than I thought it was.' I walk in there, it's like a cauldron!"""
319,,,Siggi's Drinkable Yogurt,,Blueberry Flavor
320,,,"Apple cider vinegar, water, and dish soap",,To kill fungus gnats.
321,,,Fancy cheddar in black bean soup,Cream of mushroom soup,In black bean soup.
322,,,"""My dead grandma's chatbot""",,"Sam: ""Do you have a cheese of the week?"" Joe: ""No."" Sam: ""Do you have an article?"" Joe: ""Yes."""
323,,,Cheese guild in ESO,,
324,,,Cruella Devill trailer,,"Joe sings a remix of the theme song: ""It's eyelid of the week!"" Sam: ""So your cheese this week is a dog murderer."" Joe: ""Um, uh, yeah. Yeah."""
325,,,Thermal Paste,Ricotta sausage pasta / organizing his spice cabinet,"Sam: do you have a cheese of the week Joe: it's cheese of the week! Um...no? Um...I can keep looking around my room if you want."" Joe then refers to CPU as a Cheese Processing Unit. Sam, in reference to thermal paste: did you taste it? Joe: ...maybe."
326,,,Ramekins* / blueberry crumbles,"Winco (a grocery store chain), for eventual cheese shopping","*pronounced ""RAH-meh-kins"" even though he knows that's not how that's said in the USA."
327,,,Maple syrup,Monterey Jack on a burrito,"Sam, at the end of the conversation: ""What is your cheese?"" Joe: ""Maple syrup, yes, it's just a food product; we just call it cheese. As long as it's a food product or a food thing, I think it passes as a cheese."""
328,,,"""Oh Our toilet's broken""",,
329,,,Cleaning,,"Runner ups: croissants from Safeway, being alone with Piggie. We get third-person confirmation that this section makes no sense."
330,,,"""A nesting doll of ottomans""",,"Joe: ""...and it's cheese colored, and Piggie likes cheese... You connect the dots — I'm tired."""
331,,,"""Just that"" / Cheese Guild in ESO",Mozzarella and Conte gnocchi,
332,,,Cringing at influencers who have a Tesla,Salami and Gouda snack pack; Laughing Cow,Sam describes the laughing cow cheese he bought as packaged in both a cylinder and a triangle. Joe espied these influencers from his window using a monocular.
333,,,IBC Root Beer / Provolone on a Subway sandwich,Different gruyere / Subway flatizza that Joe ate in Seattle,"Sam, in regards to Joe forgetting that he doesn't like root beer floats every six months: ""Your brain is full of cheese holes. Speaking of cheese of the week, it's your brain."" ICONIC Flatizza throwback!"
334,,,Vacuum hair cutter,,
335,,,Mediterranean chicken,Fish tacos and crema (fish and milk),
336,,,Joe's new crocs,,"Joe: ""The texture…they're kind of like cheese. They have holes in it and it's white."" Sam: ""Okay."" Joe: ""That's all you're getting from me, so you should lap it up."""
337,,,Spring Gap Mountain Creamery's Sophie's Select Aged Raw Milk Cheddar Cheese,,"Local cheese from Joe's honeymoon in West Virginia: ""I mean it was no BD5YRC...but this one was COMPLICATED."" Sam: ""...don't you mean complex?"" Joe: ""No no no I mean complicated. Like hard to figure out."" Later in the episode, Sam asks if this makes up for all the non-cheese CotWs, and Joe says, ""Well I feel like this is kind of like an ultra cheese."""
338,,,Thai chicken pizza from California Pizza Kitchen,,Joe's first indoor dining experience since the pandemic started!
339,,,Stardew Valley Prescription for Sleep album,"""Raspberries? Berries.""",
340,,,Farmer's market bread,,Some discussion of how lobster Mac and cheese and clam chowder are fish and milk.
341,,,Homemade mango sticky rice,,"Joe: ""The mango kind of looks like cheese it you squint."" Sam: ""God, you're the worst."""
342,,,Spring Gap Mountain Creamery's Shenandoah Sunrise,String cheese,"Joe: ""I do have a cheese of the week…yes, an actual cheese, but I don't remember what it's called or where it's from. So I'll just describe it."" Joe: ""Shannon Doah"" [...] ""it's either a river or a mountain"""
343,,,A man punching a sign on the way to a farmer's market,,
344,,,Limited edition Van Leuwen Kraft Mac & Cheese flavored ice cream,,
345,,,The absence of cheese,,Joe is going on a teeth whitening JORNEY.
346,,,Kraft singles (brought to you by Piggie),,They are Piggie's high response treat for harness training.
347,,,An exercise ball,,"Joe: ""So, it's not cheese, but it is round. It's large. It's like a cheese wheel."" Sam: ""Is it this dump truck of an ass?"" Joe: ""…no."""
348,,,Wet and Wild Photo Focus Concealer in Light Medium Beige,,"Joe: ""And it's kind of cheese colored. And if you think about my skin tone — it's kind of cheese colored."" Sam: ""Your skin texture? Cheese."" Joe: ""YOUR skin texture: Swiss cheese. (…) my lower back in the summer? Cheese spread."""
